"Months.On.Production","API","Product.per.day..normalized.Oil","Product.per.day..normalized.Gas"
3,"4225533934",685,4347.7
4,"4225533934",555.9,3890.5
5,"4225533934",398.5,2782
6,"4225533934",444.2,3078.1
1,"4225532920",197.7,285.1
2,"4225532920",668.5,889.3
3,"4225532920",429.2,602.5
4,"4225532920",298,508.8
5,"4225532920",233.1,479.8
6,"4225532920",199.9,378.7
1,"4225532919",131,180.9
2,"4225532919",679.4,852.1
3,"4225532919",420,567.5
4,"4225532919",327.2,469.2
5,"4225532919",278.7,430
6,"4225532919",236.9,379
1,"4225534511",219,259.8
2,"4225534511",722.5,922.9
3,"4225534511",485.1,538.1
4,"4225534511",384.1,435.6
5,"4225534511",302.5,361.5
6,"4225534511",260.2,310.1
1,"4225534509",224.8,267.4
2,"4225534509",672.9,965
3,"4225534509",409.2,571.9
4,"4225534509",294.2,470.2
5,"4225534509",210.5,396.5
6,"4225534509",164.2,345.6
1,"4225534512",274.8,307.7
2,"4225534512",829,1128.2
3,"4225534512",508.2,679.3
4,"4225534512",368.3,567.2
5,"4225534512",265.5,485.6
6,"4225534512",208.9,429.9
1,"4225534510",57.4,76.1
2,"4225534510",808.8,1224
3,"4225534510",487.5,716.8
4,"4225534510",347.6,582.7
5,"4225534510",246.6,485.8
6,"4225534510",190.7,418.5
1,"4225534508",286.5,342.3
2,"4225534508",953.5,1385.9
3,"4225534508",646.2,923.2
4,"4225534508",516.1,850
5,"4225534508",410,802.5
6,"4225534508",355.8,784.8
1,"4225532049",174.6,147.7
2,"4225532049",135.5,205.6
3,"4225532049",103.1,101.4
4,"4225532049",163.8,178.9
5,"4225532049",130,191.9
6,"4225532049",102.7,221.1
1,"4225533943",629,1021.3
2,"4225533943",817,1563.6
3,"4225533943",551,845.8
4,"4225533943",446.8,729.5
5,"4225533943",107.5,548.7
6,"4225533943",117.7,512.5
1,"4225533356",582.7,951.9
2,"4225533356",739.9,1265.4
3,"4225533356",513.7,707.8
4,"4225533356",428.4,630.3
5,"4225533356",107.5,489.5
6,"4225533356",117.7,472.5
1,"4225533355",591,863.5
2,"4225533355",844.3,1308.8
3,"4225533355",661,836.6
4,"4225533355",618,846.1
5,"4225533355",796.2,745.8
6,"4225533355",783.8,821.1
1,"4225531792",544,458.1
2,"4225531792",724.8,1026.9
3,"4225531792",578.6,855.4
4,"4225531792",545.9,878
5,"4225531792",391.8,696.8
6,"4225531792",303.7,799.6
1,"4225532022",380.1,20
2,"4225532022",561.5,901.4
3,"4225532022",568.9,975.5
4,"4225532022",349.8,616.2
5,"4225532022",308.7,341.5
6,"4225532022",275.7,276.5
1,"4249332684",20.9,20
2,"4249332684",382.5,141
3,"4249332684",605.4,243.7
4,"4249332684",520.8,336.9
5,"4249332684",423.9,227.4
6,"4249332684",317.6,158.7
1,"4249332680",67.1,20
2,"4249332680",303.5,97.7
3,"4249332680",263.4,68.1
4,"4249332680",234,105.5
5,"4249332680",368.9,154.3
6,"4249332680",366.4,144.5
1,"4228732706",478.8,214.3
2,"4228732706",341.3,163.6
3,"4228732706",251.2,118.9
4,"4228732706",206,95.5
5,"4228732706",223,96.5
6,"4228732706",210.2,94.6
1,"4228332715",195.8,40.6
2,"4228332715",347.5,110.7
3,"4228332715",146.1,68.5
4,"4228332715",255.6,136.1
5,"4228332715",253,177.5
6,"4228332715",100.8,70.9
1,"4228332714",108.2,70.2
2,"4228332714",197,191.4
3,"4228332714",85,118.5
4,"4228332714",152.6,235.2
5,"4228332714",154.9,306.7
6,"4228332714",63.4,122.6
1,"4228335924",133.1,20
2,"4228335924",355.7,542
3,"4228335924",151.2,547
4,"4228335924",114.1,505.5
5,"4228335924",69.3,672.4
6,"4228335924",54,687.2
1,"4228335923",128.1,25.7
2,"4228335923",444.4,631.5
3,"4228335923",174.8,643.9
4,"4228335923",144.4,441.7
5,"4228335923",107.8,513.3
6,"4228335923",17.2,84.7
1,"4228335922",183.6,20
2,"4228335922",476.9,354.7
3,"4228335922",187.3,696.9
4,"4228335922",166.1,550
5,"4228335922",128.4,734.1
6,"4228335922",120.6,805.2
1,"4228335921",165,20
2,"4228335921",424,363.7
3,"4228335921",153.4,524.2
4,"4228335921",125.3,388.3
