"API","BOE_Prod_2yr","BOE_Prod_6mon","TOC","Permeability...d.","Brittleness","Porosity","Thickness","Vclay","TVD","Surf.Lat","Surf.Lon","Lateral..ft.","GPI","Proppant.per.GPI..lb.ft.","Fluid.per.GPI..gal.ft.","Total.Proppant.Volume","Total.Fluid","API.Gravity","Fluid.Type","On.Stream"
"4231136264",177119.5,0,3.07,0.3,27.9,0.069,126,0.25,10588,28.59477,-98.42634,8797,7583,1308.189371,742.3403666,9920000,5629167,44,"XLINK",2016-07-01
"4212736473",152267.5,0,4.46,0.74,25.4,0.096,166,0.22,7020,28.24815,-99.91259,7400,6374,990.272984,604.2732978,6312000,3851638,52.09999847,"XLINK",2016-07-01
"4212736757",153211.5,0,4.42,0.74,25.7,0.095,164,0.21,7037,28.24513,-99.91198,8036,6838,1076.045627,581.2619187,7358000,3974669,52.09999847,"XLINK",2016-07-01
"4225534940",262515.5,0,2.84,0.33,31.6,0.065,70,0.25,11030,28.92547,-97.95208,4916,4134,2361.393324,1793.197629,9762000,7413079,42.59999847,"XLINK",2016-07-01
"4231136263",171062.5,0,3.08,0.3,27.9,0.069,126,0.25,10583,28.59471,-98.42628,8755,7290,1273.251029,718.185048,9282000,5235569,44,"XLINK",2016-07-01
"4231136027",168160,0,2.78,0.22,28.8,0.063,125,0.26,10471,28.59392,-98.4474,7097,5853,1319.323424,779.6070391,7722000,4563040,40.90000153,"XLINK",2016-07-01
"4212736687",264428.5,0,4.45,0.68,25.7,0.096,178,0.21,6519,28.26366,-99.95219,8539,7021,1310.63951,715.8151261,9202000,5025738,49.20000076,"XLINK",2016-07-01
"4212735747",122391,0,4.33,0.69,25.5,0.092,168,0.23,7006,28.26277,-99.90478,7089,5536,895.5924855,571.5200506,4958000,3163935,52.40000153,"XLINK",2016-07-01
"4231136282",188133.5,0,2.98,0.27,28.2,0.067,126,0.25,10570,28.59295,-98.43149,9037,6954,1337.935001,890.0094909,9304000,6189126,41.20000076,"XLINK",2016-07-01
"4212334111",298195,0,3.39,0.46,26.5,0.074,153,0.28,12367,29.04682,-97.66801,5831,4475,2213.631285,1567.31933,9906000,7013754,48,"XLINK",2016-07-01
"4231136281",140800.5,0,2.98,0.27,28.2,0.067,126,0.25,10568,28.59289,-98.43143,9099,6450,1292.403101,852.2562791,8336000,5497053,42.29999924,"XLINK",2016-07-01
"4201335325",177434.5,0,3.59,0.39,28.7,0.081,96,0.2,10401,28.80888,-98.14075,8565,5901,1476.822572,724.268768,8714730,4273910,50,"XLINK",2016-07-01
"4212735750",179228.5,0,4.33,0.69,25.5,0.092,168,0.23,7196,28.26302,-99.90478,7004,4407,1892.897663,1472.310188,8342000,6488471,52.09999847,"XLINK",2016-07-01
"4201335346",212983.5,0,3.59,0.39,28.7,0.081,96,0.2,10531,28.80871,-98.1406,9195,5126,2359.875146,1098.571986,12096720,5631280,50,"XLINK",2016-07-01
"4201335342",223295.5,0,3.59,0.39,28.7,0.081,96,0.2,10528,28.80875,-98.14063,9200,5126,2355.857589,1120.597737,12076126,5744184,50,"XLINK",2016-07-01
"4212735745",60075.5,0,4.33,0.69,25.5,0.092,168,0.23,7004,28.26294,-99.90478,5452,2956,863.3288227,601.738498,2552000,1778739,51.90000153,"XLINK",2016-07-01
"4201335338",193660,0,3.59,0.39,28.7,0.081,96,0.2,10535,28.80884,-98.14071,9389,5081,2310.769534,1132.618579,11741020,5754835,50,"XLINK",2016-07-01
"4231136269",120098.5,0,2.98,0.27,28.2,0.067,126,0.25,10539,28.5927,-98.43125,8383,4443,1280.21607,855.4226874,5688000,3800643,41,"XLINK",2016-07-01
"4228335739",180575,73377.5,3.42,0.44,27.9,0.075,112,0.24,8445,28.54406,-99.09157,5125,8046,646.5324385,769.5309471,5202000,6191646,41.79999924,"XLINK",2016-06-01
"4212736743",152907,0,4.39,0.73,26.2,0.094,161,0.21,7048,28.23503,-99.91242,4759,6849,1128.04789,630.9012995,7726000,4321043,49.09999847,"XLINK",2016-06-01
"4212736461",290156.5,0,4.36,0.71,25.3,0.093,166,0.23,7012,28.2578,-99.90488,6934,9555,1952.904239,1115.315123,18660000,10656836,50.90000153,"XLINK",2016-06-01
"4212736689",327595,0,4.45,0.68,25.7,0.096,178,0.21,6539,28.26382,-99.95219,7154,8027,1296.873053,687.9201445,10410000,5521935,49.5,"XLINK",2016-06-01
"4228335740",168960,70021.5,3.42,0.44,27.9,0.075,112,0.24,8452,28.54413,-99.09153,7902,8411,665.5570087,829.5823327,5598000,6977617,42,"XLINK",2016-06-01
"4217733682",207624,105405,3.55,0.38,25.1,0.079,153,0.25,11229,29.2293,-97.50511,3428,3570,2588.235294,2367.943697,9240000,8453559,45,"SLKW",2016-06-01
"4225534289",163923,59099,2.31,0.09,30.6,0.053,97,0.28,8554,29.15658,-97.76689,6919,7188,2085.698386,1624.414858,14992000,11676294,37,"SLKW",2016-06-01
"4225534290",161822.5,61738.5,2.31,0.09,30.6,0.053,97,0.28,8547,29.1566,-97.76678,7020,7265,2180.316586,1687.301583,15840000,12258246,38,"SLKW",2016-06-01
"4225534287",105963.5,38135,2.31,0.09,30.6,0.053,97,0.28,8564,29.15656,-97.76698,6771,7002,2112.824907,1686.538132,14794000,11809140,37.20000076,"SLKW",2016-06-01
"4217733663",153729,79658.5,3.53,0.38,26.4,0.079,150,0.25,10572,29.21533,-97.55204,4803,4893,2333.537707,1925.296137,11418000,9420474,44,"SLKW",2016-06-01
"4225534937",156992,73076.5,3.92,0.59,25.4,0.086,142,0.26,11743,29.06465,-97.70328,3099,3141,2004.457179,1438.968481,6296000,4519800,45,"XLINK",2016-06-01
"4225534835",521013,324724,3.44,0.4,27.3,0.076,132,0.27,10666,29.08551,-97.74376,5878,5946,3083.753784,2410.535822,18336000,14333046,43,"SLKW",2016-06-01
"4217733681",270874,151540,3.55,0.39,25.1,0.079,153,0.25,11232,29.22934,-97.50502,3478,3499,2416.690483,2395.489854,8456000,8381819,45,"SLKW",2016-06-01
